,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Pakistan,West Indies,West Indies,9 wickets,Brisbane,"Jan 9, 1993",ODI # 788
1,Australia,West Indies,West Indies,7 runs,Brisbane,"Jan 10, 1993",ODI # 789
2,Australia,Pakistan,Australia,32 runs,Melbourne,"Jan 12, 1993",ODI # 790
3,Australia,Pakistan,Australia,23 runs,Sydney,"Jan 14, 1993",ODI # 791
4,Australia,West Indies,West Indies,25 runs,Sydney,"Jan 16, 1993",ODI # 792
5,Australia,West Indies,West Indies,4 wickets,Melbourne,"Jan 18, 1993",ODI # 793
6,India,England,England,4 wickets,Jaipur,"Jan 18, 1993",ODI # 794
7,India,England,India,5 wickets,Chandigarh,"Jan 21, 1993",ODI # 795
8,Pakistan,Zimbabwe,Pakistan,49 runs,Sharjah,"Feb 1, 1993",ODI # 796
9,Pakistan,Sri Lanka,Pakistan,8 wickets,Sharjah,"Feb 2, 1993",ODI # 797
10,Sri Lanka,Zimbabwe,Sri Lanka,30 runs,Sharjah,"Feb 3, 1993",ODI # 798
11,Pakistan,Sri Lanka,Pakistan,114 runs,Sharjah,"Feb 4, 1993",ODI # 799
12,South Africa,Pakistan,Pakistan,10 runs,Durban,"Feb 9, 1993",ODI # 800
13,South Africa,West Indies,South Africa,6 wickets,Port Elizabeth,"Feb 11, 1993",ODI # 801
14,Pakistan,West Indies,West Indies,8 wickets,Johannesburg,"Feb 13, 1993",ODI # 802
15,South Africa,Pakistan,Pakistan,9 runs,East London,"Feb 15, 1993",ODI # 803
16,South Africa,West Indies,South Africa,4 runs,Cape Town,"Feb 17, 1993",ODI # 804
17,Pakistan,West Indies,West Indies,124 runs,Durban,"Feb 19, 1993",ODI # 805
18,South Africa,Pakistan,Pakistan,22 runs,Centurion,"Feb 21, 1993",ODI # 806
19,South Africa,West Indies,West Indies,9 wickets,Bloemfontein,"Feb 23, 1993",ODI # 807
20,Pakistan,West Indies,West Indies,7 wickets,Cape Town,"Feb 25, 1993",ODI # 808
21,India,England,England,48 runs,Bengaluru,"Feb 26, 1993",ODI # 809
22,Pakistan,West Indies,West Indies,5 wickets,Johannesburg,"Feb 27, 1993",ODI # 810
23,India,England,England,6 wickets,Jamshedpur,"Mar 1, 1993",ODI # 811
24,Zimbabwe,Pakistan,Pakistan,7 wickets,Harare,"Mar 2, 1993",ODI # 812
25,India,England,India,3 wickets,Gwalior,"Mar 4, 1993",ODI # 813
26,India,England,India,4 wickets,Gwalior,"Mar 5, 1993",ODI # 814
27,Sri Lanka,England,Sri Lanka,32 runs,Colombo (RPS),"Mar 10, 1993",ODI # 815
28,New Zealand,Australia,Australia,129 runs,Dunedin,"Mar 19, 1993",ODI # 816
29,India,Zimbabwe,India,67 runs,Faridabad,"Mar 19, 1993",ODI # 817
30,Sri Lanka,England,Sri Lanka,8 wickets,Moratuwa,"Mar 20, 1993",ODI # 818
31,New Zealand,Australia,Australia,1 wicket,Christchurch,"Mar 21-22, 1993",ODI # 819
32,India,Zimbabwe,India,7 wickets,Guwahati,"Mar 22, 1993",ODI # 820
33,West Indies,Pakistan,West Indies,4 wickets,Kingston,"Mar 23, 1993",ODI # 821
34,New Zealand,Australia,New Zealand,88 runs,Wellington,"Mar 24, 1993",ODI # 822
35,India,Zimbabwe,India,8 wickets,Pune,"Mar 25, 1993",ODI # 823
36,West Indies,Pakistan,West Indies,5 wickets,Port of Spain,"Mar 26, 1993",ODI # 824
37,New Zealand,Australia,New Zealand,3 wickets,Hamilton,"Mar 27, 1993",ODI # 825
38,West Indies,Pakistan,Pakistan,7 wickets,Port of Spain,"Mar 27, 1993",ODI # 826
39,New Zealand,Australia,Australia,3 runs,Auckland,"Mar 28, 1993",ODI # 827
40,West Indies,Pakistan,Pakistan,38 runs,Kingstown,"Mar 30, 1993",ODI # 828
41,West Indies,Pakistan,tied,,Georgetown,"Apr 3, 1993",ODI # 829
42,England,Australia,Australia,4 runs,Manchester,"May 19, 1993",ODI # 830
43,England,Australia,Australia,6 wickets,Birmingham,"May 21, 1993",ODI # 831
44,England,Australia,Australia,19 runs,Lord's,"May 23, 1993",ODI # 832
45,Sri Lanka,India,India,1 run,Colombo (RPS),"Jul 25, 1993",ODI # 833
46,Sri Lanka,India,Sri Lanka,8 runs,Colombo (RPS),"Aug 12, 1993",ODI # 834
47,Sri Lanka,India,Sri Lanka,4 wickets,Moratuwa,"Aug 14, 1993",ODI # 835
48,Sri Lanka,South Africa,no result,,Kandy,"Aug 22, 1993",ODI # 836
49,Sri Lanka,South Africa,South Africa,124 runs,Colombo (RPS),"Sep 2, 1993",ODI # 837
50,Sri Lanka,South Africa,Sri Lanka,44 runs,Colombo (RPS),"Sep 4, 1993",ODI # 838
51,Sri Lanka,West Indies,West Indies,8 wickets,Sharjah,"Oct 28, 1993",ODI # 839
52,Pakistan,West Indies,West Indies,39 runs,Sharjah,"Oct 29, 1993",ODI # 840
53,Pakistan,Sri Lanka,Pakistan,114 runs,Sharjah,"Oct 30, 1993",ODI # 841
54,Pakistan,West Indies,Pakistan,5 wickets,Sharjah,"Nov 1, 1993",ODI # 842
55,Pakistan,Sri Lanka,Pakistan,2 wickets,Sharjah,"Nov 2, 1993",ODI # 843
56,Sri Lanka,West Indies,West Indies,8 wickets,Sharjah,"Nov 3, 1993",ODI # 844
57,Pakistan,West Indies,West Indies,6 wickets,Sharjah,"Nov 5, 1993",ODI # 845
58,India,Sri Lanka,India,7 wickets,Kanpur,"Nov 7, 1993",ODI # 846
59,Sri Lanka,West Indies,West Indies,46 runs,Mumbai,"Nov 9, 1993",ODI # 847
60,South Africa,Zimbabwe,no result,,Bengaluru,"Nov 10, 1993",ODI # 848
61,South Africa,West Indies,South Africa,41 runs,Mumbai (BS),"Nov 14, 1993",ODI # 849
62,Sri Lanka,Zimbabwe,Sri Lanka,55 runs,Patna,"Nov 15, 1993",ODI # 850
63,India,West Indies,West Indies,69 runs,Ahmedabad,"Nov 16, 1993",ODI # 851
64,India,Zimbabwe,tied,,Indore,"Nov 18, 1993",ODI # 852
65,South Africa,Sri Lanka,South Africa,78 runs,Guwahati,"Nov 19, 1993",ODI # 853
66,West Indies,Zimbabwe,West Indies,134 runs,Hyderabad (Deccan),"Nov 21, 1993",ODI # 854
67,India,South Africa,India,43 runs,Mohali,"Nov 22, 1993",ODI # 855
68,India,South Africa,India,2 runs,Kolkata,"Nov 24, 1993",ODI # 856
69,Sri Lanka,West Indies,West Indies,7 wickets,Kolkata,"Nov 25, 1993",ODI # 857
70,India,West Indies,India,102 runs,Kolkata,"Nov 27, 1993",ODI # 858
71,Sri Lanka,West Indies,no result,,Colombo (PSS),"Dec 1, 1993",ODI # 859
72,Australia,South Africa,South Africa,7 wickets,Melbourne,"Dec 9, 1993",ODI # 860
73,Australia,New Zealand,Australia,8 wickets,Adelaide,"Dec 12, 1993",ODI # 861
74,Australia,South Africa,Australia,103 runs,Sydney,"Dec 14, 1993",ODI # 862
75,Australia,New Zealand,Australia,3 runs,Melbourne,"Dec 16, 1993",ODI # 863
76,Sri Lanka,West Indies,Sri Lanka,3 wickets,Colombo (RPS),"Dec 16, 1993",ODI # 864
77,New Zealand,South Africa,New Zealand,4 wickets,Hobart,"Dec 18, 1993",ODI # 865
78,Sri Lanka,West Indies,West Indies,6 wickets,Colombo (SSC),"Dec 18, 1993",ODI # 866
79,Pakistan,Zimbabwe,Pakistan,7 wickets,Karachi,"Dec 24, 1993",ODI # 867
80,Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi,"Dec 25, 1993",ODI # 868
81,Pakistan,Zimbabwe,Pakistan,75 runs,Lahore,"Dec 27, 1993",ODI # 869
