,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Pakistan,England,Pakistan,36 runs,Lahore,"Jan 13, 1978",ODI # 47
1,West Indies,Australia,West Indies,44 runs,St John's,"Feb 22, 1978",ODI # 48
2,West Indies,Australia,Australia,2 wickets,Castries,"Apr 12, 1978",ODI # 49
3,England,Pakistan,England,132 runs,Manchester,"May 24-25, 1978",ODI # 50
4,England,Pakistan,England,94 runs,The Oval,"May 26, 1978",ODI # 51
5,England,New Zealand,England,19 runs,Scarborough,"Jul 15, 1978",ODI # 52
6,England,New Zealand,England,126 runs,Manchester,"Jul 17, 1978",ODI # 53
7,Pakistan,India,India,4 runs,Quetta,"Oct 1, 1978",ODI # 54
8,Pakistan,India,Pakistan,8 wickets,Sialkot,"Oct 13, 1978",ODI # 55
9,Pakistan,India,Pakistan,,Sahiwal,"Nov 3, 1978",ODI # 56
