,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
48,Pakistan,Zimbabwe,Pakistan,20 runs,Brisbane,"Mar 1, 2015",ODI # 3620
49,Ireland,South Africa,South Africa,201 runs,Canberra,"Mar 3, 2015",ODI # 3621
50,Pakistan,U.A.E.,Pakistan,129 runs,Napier,"Mar 4, 2015",ODI # 3622
51,Australia,Afghanistan,Australia,275 runs,Perth,"Mar 4, 2015",ODI # 3623
52,Bangladesh,Scotland,Bangladesh,6 wickets,Nelson,"Mar 5, 2015",ODI # 3624
53,India,West Indies,India,4 wickets,Perth,"Mar 6, 2015",ODI # 3625
54,Pakistan,South Africa,Pakistan,29 runs,Auckland,"Mar 7, 2015",ODI # 3626
55,Ireland,Zimbabwe,Ireland,5 runs,Hobart,"Mar 7, 2015",ODI # 3627
56,New Zealand,Afghanistan,New Zealand,6 wickets,Napier,"Mar 8, 2015",ODI # 3628
57,Australia,Sri Lanka,Australia,64 runs,Sydney,"Mar 8, 2015",ODI # 3629
58,Bangladesh,England,Bangladesh,15 runs,Adelaide,"Mar 9, 2015",ODI # 3630
59,India,Ireland,India,8 wickets,Hamilton,"Mar 10, 2015",ODI # 3631
60,Scotland,Sri Lanka,Sri Lanka,148 runs,Hobart,"Mar 11, 2015",ODI # 3632
61,South Africa,U.A.E.,South Africa,146 runs,Wellington,"Mar 12, 2015",ODI # 3633
62,New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton,"Mar 13, 2015",ODI # 3634
63,Afghanistan,England,England,9 wickets,Sydney,"Mar 13, 2015",ODI # 3635
64,India,Zimbabwe,India,6 wickets,Auckland,"Mar 14, 2015",ODI # 3636
65,Australia,Scotland,Australia,7 wickets,Hobart,"Mar 14, 2015",ODI # 3637
66,U.A.E.,West Indies,West Indies,6 wickets,Napier,"Mar 15, 2015",ODI # 3638
67,Ireland,Pakistan,Pakistan,7 wickets,Adelaide,"Mar 15, 2015",ODI # 3639
68,South Africa,Sri Lanka,South Africa,9 wickets,Sydney,"Mar 18, 2015",ODI # 3640
69,Bangladesh,India,India,109 runs,Melbourne,"Mar 19, 2015",ODI # 3641
70,Australia,Pakistan,Australia,6 wickets,Adelaide,"Mar 20, 2015",ODI # 3642
71,New Zealand,West Indies,New Zealand,143 runs,Wellington,"Mar 21, 2015",ODI # 3643
72,New Zealand,South Africa,New Zealand,4 wickets,Auckland,"Mar 24, 2015",ODI # 3644
73,Australia,India,Australia,95 runs,Sydney,"Mar 26, 2015",ODI # 3645
74,Australia,New Zealand,Australia,7 wickets,Melbourne,"Mar 29, 2015",ODI # 3646
75,Bangladesh,Pakistan,Bangladesh,79 runs,Dhaka,"Apr 17, 2015",ODI # 3647
76,Bangladesh,Pakistan,Bangladesh,7 wickets,Dhaka,"Apr 19, 2015",ODI # 3648
77,Bangladesh,Pakistan,Bangladesh,8 wickets,Dhaka,"Apr 22, 2015",ODI # 3649
78,Ireland,England,no result,,Dublin (Malahide),"May 8, 2015",ODI # 3650
79,Pakistan,Zimbabwe,Pakistan,41 runs,Lahore,"May 26, 2015",ODI # 3651
80,Pakistan,Zimbabwe,Pakistan,6 wickets,Lahore,"May 29, 2015",ODI # 3652
81,Pakistan,Zimbabwe,no result,,Lahore,"May 31, 2015",ODI # 3653
82,England,New Zealand,England,210 runs,Birmingham,"Jun 9, 2015",ODI # 3654
83,England,New Zealand,New Zealand,13 runs,The Oval,"Jun 12, 2015",ODI # 3655
84,England,New Zealand,New Zealand,3 wickets,Southampton,"Jun 14, 2015",ODI # 3656
85,England,New Zealand,England,7 wickets,Nottingham,"Jun 17, 2015",ODI # 3657
86,Bangladesh,India,Bangladesh,79 runs,Dhaka,"Jun 18, 2015",ODI # 3658
87,England,New Zealand,England,3 wickets,Chester-le-Street,"Jun 20, 2015",ODI # 3659
88,Bangladesh,India,Bangladesh,6 wickets,Dhaka,"Jun 21, 2015",ODI # 3660
89,Bangladesh,India,India,77 runs,Dhaka,"Jun 24, 2015",ODI # 3661
90,Zimbabwe,India,India,4 runs,Harare,"Jul 10, 2015",ODI # 3662
91,Bangladesh,South Africa,South Africa,8 wickets,Dhaka,"Jul 10, 2015",ODI # 3663
92,Sri Lanka,Pakistan,Pakistan,6 wickets,Dambulla,"Jul 11, 2015",ODI # 3664
93,Zimbabwe,India,India,62 runs,Harare,"Jul 12, 2015",ODI # 3665
94,Bangladesh,South Africa,Bangladesh,7 wickets,Dhaka,"Jul 12, 2015",ODI # 3666
95,Zimbabwe,India,India,83 runs,Harare,"Jul 14, 2015",ODI # 3667
96,Bangladesh,South Africa,Bangladesh,9 wickets,Chittagong,"Jul 15, 2015",ODI # 3668
97,Sri Lanka,Pakistan,Sri Lanka,2 wickets,Pallekele,"Jul 15, 2015",ODI # 3669
98,Sri Lanka,Pakistan,Pakistan,135 runs,Colombo (RPS),"Jul 19, 2015",ODI # 3670
99,Sri Lanka,Pakistan,Pakistan,7 wickets,Colombo (RPS),"Jul 22, 2015",ODI # 3671
100,Sri Lanka,Pakistan,Sri Lanka,165 runs,Hambantota,"Jul 26, 2015",ODI # 3672
101,Zimbabwe,New Zealand,Zimbabwe,7 wickets,Harare,"Aug 2, 2015",ODI # 3673
102,Zimbabwe,New Zealand,New Zealand,10 wickets,Harare,"Aug 4, 2015",ODI # 3674
103,Zimbabwe,New Zealand,New Zealand,38 runs,Harare,"Aug 7, 2015",ODI # 3675
104,South Africa,New Zealand,South Africa,20 runs,Centurion,"Aug 19, 2015",ODI # 3676
105,South Africa,New Zealand,New Zealand,8 wickets,Potchefstroom,"Aug 23, 2015",ODI # 3677
106,South Africa,New Zealand,South Africa,62 runs,Durban,"Aug 26, 2015",ODI # 3678
107,Ireland,Australia,Australia,23 runs,Belfast,"Aug 27, 2015",ODI # 3679
108,England,Australia,Australia,59 runs,Southampton,"Sep 3, 2015",ODI # 3680
109,England,Australia,Australia,64 runs,Lord's,"Sep 5, 2015",ODI # 3681
110,England,Australia,England,93 runs,Manchester,"Sep 8, 2015",ODI # 3682
111,England,Australia,England,3 wickets,Leeds,"Sep 11, 2015",ODI # 3683
112,England,Australia,Australia,8 wickets,Manchester,"Sep 13, 2015",ODI # 3684
113,Zimbabwe,Pakistan,Pakistan,131 runs,Harare,"Oct 1, 2015",ODI # 3685
114,Zimbabwe,Pakistan,Zimbabwe,5 runs,Harare,"Oct 3, 2015",ODI # 3686
115,Zimbabwe,Pakistan,Pakistan,7 wickets,Harare,"Oct 5, 2015",ODI # 3687
116,Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare,"Oct 9, 2015",ODI # 3688
117,India,South Africa,South Africa,5 runs,Kanpur,"Oct 11, 2015",ODI # 3689
118,Zimbabwe,Ireland,Zimbabwe,5 wickets,Harare,"Oct 11, 2015",ODI # 3690
119,Zimbabwe,Ireland,Ireland,2 wickets,Harare,"Oct 13, 2015",ODI # 3691
120,India,South Africa,India,22 runs,Indore,"Oct 14, 2015",ODI # 3692
121,Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo,"Oct 16, 2015",ODI # 3693
122,Zimbabwe,Afghanistan,Afghanistan,58 runs,Bulawayo,"Oct 18, 2015",ODI # 3694
123,India,South Africa,South Africa,18 runs,Rajkot,"Oct 18, 2015",ODI # 3695
124,Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo,"Oct 20, 2015",ODI # 3696
125,Zimbabwe,Afghanistan,Afghanistan,3 wickets,Bulawayo,"Oct 22, 2015",ODI # 3697
126,India,South Africa,India,35 runs,Chennai,"Oct 22, 2015",ODI # 3698
127,Zimbabwe,Afghanistan,Afghanistan,73 runs,Bulawayo,"Oct 24, 2015",ODI # 3699
128,India,South Africa,South Africa,214 runs,Mumbai,"Oct 25, 2015",ODI # 3700
129,Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (RPS),"Nov 1, 2015",ODI # 3701
130,Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (RPS),"Nov 4, 2015",ODI # 3702
131,Bangladesh,Zimbabwe,Bangladesh,145 runs,Dhaka,"Nov 7, 2015",ODI # 3703
132,Sri Lanka,West Indies,Sri Lanka,19 runs,Pallekele,"Nov 7, 2015",ODI # 3704
133,Bangladesh,Zimbabwe,Bangladesh,58 runs,Dhaka,"Nov 9, 2015",ODI # 3705
134,Bangladesh,Zimbabwe,Bangladesh,61 runs,Dhaka,"Nov 11, 2015",ODI # 3706
135,England,Pakistan,Pakistan,6 wickets,Abu Dhabi,"Nov 11, 2015",ODI # 3707
136,England,Pakistan,England,95 runs,Abu Dhabi,"Nov 13, 2015",ODI # 3708
137,U.A.E.,Hong Kong,Hong Kong,89 runs,ICCA Dubai,"Nov 16, 2015",ODI # 3709
138,England,Pakistan,England,6 wickets,Sharjah,"Nov 17, 2015",ODI # 3710
139,U.A.E.,Hong Kong,Hong Kong,136 runs,ICCA Dubai,"Nov 18, 2015",ODI # 3711
140,England,Pakistan,England,84 runs,Dubai (DSC),"Nov 20, 2015",ODI # 3712
141,Afghanistan,Zimbabwe,Afghanistan,49 runs,Sharjah,"Dec 25, 2015",ODI # 3713
142,New Zealand,Sri Lanka,New Zealand,7 wickets,Christchurch,"Dec 26, 2015",ODI # 3714
143,New Zealand,Sri Lanka,New Zealand,10 wickets,Christchurch,"Dec 28, 2015",ODI # 3715
144,Afghanistan,Zimbabwe,Afghanistan,4 wickets,Sharjah,"Dec 29, 2015",ODI # 3716
145,New Zealand,Sri Lanka,Sri Lanka,8 wickets,Nelson,"Dec 31, 2015",ODI # 3717
